Project: mp3
Revision: mp3
Flow Start Date: Sun Dec 09 18:50:24 CST 2018
Flow End Date: Sun Dec 09 21:39:34 CST 2018

Detailed Results
Point,base-slow-1100mV-85C,base-slow-1100mV-0C,base-fast-1100mV-0C,1-slow-1100mV-85C,1-slow-1100mV-0C,1-fast-1100mV-0C,2-slow-1100mV-85C,2-slow-1100mV-0C,2-fast-1100mV-0C,3-slow-1100mV-85C,3-slow-1100mV-0C,3-fast-1100mV-0C,4-slow-1100mV-85C,4-slow-1100mV-0C,4-fast-1100mV-0C,5-slow-1100mV-85C,5-slow-1100mV-0C,5-fast-1100mV-0C,6-slow-1100mV-85C,6-slow-1100mV-0C,6-fast-1100mV-0C,7-slow-1100mV-85C,7-slow-1100mV-0C,7-fast-1100mV-0C,8-slow-1100mV-85C,8-slow-1100mV-0C,8-fast-1100mV-0C,9-slow-1100mV-85C,9-slow-1100mV-0C,9-fast-1100mV-0C,10-slow-1100mV-85C,10-slow-1100mV-0C,10-fast-1100mV-0C (Best)
Clock Setup: 'clk': Per-clock Keeper TNS,-2.662 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,-0.146 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,-0.087 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns
Clock Setup: 'clk': Restricted Fmax,105.67 MHz,114.36 MHz,138.89 MHz,112.23 MHz,122.41 MHz,158.35 MHz,114.13 MHz,123.47 MHz,161.37 MHz,109.77 MHz,119.03 MHz,147.95 MHz,114.17 MHz,123.11 MHz,164.77 MHz,112.5 MHz,121.97 MHz,150.53 MHz,114.81 MHz,123.98 MHz,153.3 MHz,110.05 MHz,118.74 MHz,147.65 MHz,114.01 MHz,123.11 MHz,162.15 MHz,115.49 MHz,124.56 MHz,159.49 MHz,114.9 MHz,124.32 MHz,158.93 MHz
Clock Setup: 'clk': Worst-case Slack,-0.463 ns,0.256 ns,1.800 ns,0.090 ns,0.831 ns,2.685 ns,0.238 ns,0.901 ns,2.803 ns,-0.110 ns,0.599 ns,2.241 ns,0.241 ns,0.877 ns,2.931 ns,0.111 ns,0.801 ns,2.357 ns,0.290 ns,0.934 ns,2.477 ns,-0.087 ns,0.578 ns,2.227 ns,0.229 ns,0.877 ns,2.833 ns,0.341 ns,0.972 ns,2.730 ns,0.297 ns,0.956 ns,2.708 ns
Clock Setup: Total Keeper TNS,-2.662 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,-0.146 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,-0.087 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns
Elapsed Time: Analysis & Synthesis,00:00:58,00:00:58,00:00:58,00:02:07,00:02:07,00:02:07,00:02:19,00:02:19,00:02:19,00:01:00,00:01:00,00:01:00,00:02:34,00:02:34,00:02:34,00:01:01,00:01:01,00:01:01,00:02:16,00:02:16,00:02:16,00:02:11,00:02:11,00:02:11,00:02:20,00:02:20,00:02:20,00:02:15,00:02:15,00:02:15,00:02:29,00:02:29,00:02:29
Elapsed Time: Assembler,00:00:17,00:00:17,00:00:17,00:00:18,00:00:18,00:00:18,00:00:17,00:00:17,00:00:17,00:00:17,00:00:17,00:00:17,00:00:18,00:00:18,00:00:18,00:00:18,00:00:18,00:00:18,00:00:16,00:00:16,00:00:16,00:00:18,00:00:18,00:00:18,00:00:17,00:00:17,00:00:17,00:00:17,00:00:17,00:00:17,00:00:16,00:00:16,00:00:16
Elapsed Time: EDA Netlist Writer,00:01:21,00:01:21,00:01:21,00:01:22,00:01:22,00:01:22,00:01:18,00:01:18,00:01:18,00:01:23,00:01:23,00:01:23,00:01:28,00:01:28,00:01:28,00:01:21,00:01:21,00:01:21,00:01:19,00:01:19,00:01:19,00:01:22,00:01:22,00:01:22,00:01:20,00:01:20,00:01:20,00:01:23,00:01:23,00:01:23,00:01:19,00:01:19,00:01:19
Elapsed Time: Fitter,00:06:36,00:06:36,00:06:36,00:08:08,00:08:08,00:08:08,00:10:27,00:10:27,00:10:27,00:10:39,00:10:39,00:10:39,00:11:57,00:11:57,00:11:57,00:11:14,00:11:14,00:11:14,00:10:09,00:10:09,00:10:09,00:09:56,00:09:56,00:09:56,00:09:43,00:09:43,00:09:43,00:11:05,00:11:05,00:11:05,00:09:14,00:09:14,00:09:14
Elapsed Time: TimeQuest Timing Analyzer,00:00:28,00:00:28,00:00:28,00:00:29,00:00:29,00:00:29,00:00:25,00:00:25,00:00:25,00:00:26,00:00:26,00:00:26,00:00:26,00:00:26,00:00:26,00:00:25,00:00:25,00:00:25,00:00:24,00:00:24,00:00:24,00:00:27,00:00:27,00:00:27,00:00:26,00:00:26,00:00:26,00:00:28,00:00:28,00:00:28,00:00:24,00:00:24,00:00:24
Elapsed Time: Total,00:09:40,00:09:40,00:09:40,00:12:24,00:12:24,00:12:24,00:14:46,00:14:46,00:14:46,00:13:45,00:13:45,00:13:45,00:16:43,00:16:43,00:16:43,00:14:19,00:14:19,00:14:19,00:14:24,00:14:24,00:14:24,00:14:14,00:14:14,00:14:14,00:14:06,00:14:06,00:14:06,00:15:28,00:15:28,00:15:28,00:13:42,00:13:42,00:13:42
Logic utilization,35947,35947,35947,33354,33354,33354,32997,32997,32997,35764,35764,35764,32997,32997,32997,35764,35764,35764,32576,32576,32576,32939,32939,32939,32572,32572,32572,32951,32951,32951,32744,32744,32744
Timing Model,Slow 1100mV 85C,Slow 1100mV 0C,Fast 1100mV 0C,Slow 1100mV 85C,Slow 1100mV 0C,Fast 1100mV 0C,Slow 1100mV 85C,Slow 1100mV 0C,Fast 1100mV 0C,Slow 1100mV 85C,Slow 1100mV 0C,Fast 1100mV 0C,Slow 1100mV 85C,Slow 1100mV 0C,Fast 1100mV 0C,Slow 1100mV 85C,Slow 1100mV 0C,Fast 1100mV 0C,Slow 1100mV 85C,Slow 1100mV 0C,Fast 1100mV 0C,Slow 1100mV 85C,Slow 1100mV 0C,Fast 1100mV 0C,Slow 1100mV 85C,Slow 1100mV 0C,Fast 1100mV 0C,Slow 1100mV 85C,Slow 1100mV 0C,Fast 1100mV 0C,Slow 1100mV 85C,Slow 1100mV 0C,Fast 1100mV 0C
Total block memory bits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Keeper TNS,-2.662 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,-0.146 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,-0.087 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns
Total Thermal Power Dissipation,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Worst-case Slack,-0.463 ns (Clock Setup: 'clk'),0.219 ns (Clock Hold: 'clk'),0.131 ns (Clock Hold: 'clk'),0.090 ns (Clock Setup: 'clk'),0.218 ns (Clock Hold: 'clk'),0.129 ns (Clock Hold: 'clk'),0.233 ns (Clock Hold: 'clk'),0.218 ns (Clock Hold: 'clk'),0.130 ns (Clock Hold: 'clk'),-0.110 ns (Clock Setup: 'clk'),0.225 ns (Clock Hold: 'clk'),0.135 ns (Clock Hold: 'clk'),0.233 ns (Clock Hold: 'clk'),0.218 ns (Clock Hold: 'clk'),0.130 ns (Clock Hold: 'clk'),0.111 ns (Clock Setup: 'clk'),0.225 ns (Clock Hold: 'clk'),0.136 ns (Clock Hold: 'clk'),0.232 ns (Clock Hold: 'clk'),0.218 ns (Clock Hold: 'clk'),0.130 ns (Clock Hold: 'clk'),-0.087 ns (Clock Setup: 'clk'),0.187 ns (Clock Hold: 'clk'),0.126 ns (Clock Hold: 'clk'),0.205 ns (Clock Hold: 'clk'),0.192 ns (Clock Hold: 'clk'),0.129 ns (Clock Hold: 'clk'),0.233 ns (Clock Hold: 'clk'),0.219 ns (Clock Hold: 'clk'),0.131 ns (Clock Hold: 'clk'),0.284 ns (Clock Hold: 'clk'),0.261 ns (Clock Hold: 'clk'),0.180 ns (Clock Hold: 'clk')
